OTU,otu_name,E_ss_K,r2,group
1,Clade1_2068,1.0281415167944417,0.8318522800463017,Clade1
2,Clade1_2069,0.9225622630702028,0.6697578413493159,Clade1
3,Clade1_2070,0.799916181327553,0.7986409434738304,Clade1
4,Clade2_2071,1.0240374073936216,0.6732206438524276,Clade2
5,Clade2_2072,0.504121111754558,0.6697969890167514,Clade2
6,Clade2_2073,0.6425056623032251,0.808118120081889,Clade2
7,Clade3_2074,0.8681057407065701,0.8683220573404217,Clade3
8,Clade3_2075,0.87364816877524,0.8821321018947571,Clade3
9,Clade3_2076,5,0.8256407829095974,Clade3
10,Clade4_2077,1.3838905597530684,0.9005067338836679,Clade4
11,Clade4_2078,0.9383535177406828,0.8453714068676427,Clade4
12,Clade4_2079,1.00793617617716,0.867249842564278,Clade4
16,para_2051,0.7279555035429572,0.7257138705368507,para
17,para_2052,0.5728030159987808,0.8459743864322167,para
18,para_2053,5,0.49880675691346144,para
