T,OTU,Replicate
22,13,R3
28,2,R4
28,18,R1
34,6,R5
36,4,R3
36,7,R3
36,18,R5
40,6,R1
40,16,R1
40,16,R2
40,16,R3
40,16,R4
40,16,R5
40,17,R1
40,18,R1
40,18,R2
40,18,R3
40,18,R4
40,18,R5
42,1,R2
42,4,R3
42,4,R4
42,6,R1
42,6,R3
42,12,R1
42,13,R1
42,13,R2
42,13,R3
42,13,R4
42,13,R5
42,16,R1
42,16,R2
42,16,R3
42,16,R4
42,16,R5
42,17,R1
42,17,R2
42,17,R3
42,17,R4
42,17,R5
42,18,R1
42,18,R2
42,18,R3
42,18,R4
42,18,R5
44,1,R2
44,2,R2
44,4,R1
44,4,R2
44,4,R3
44,4,R5
44,5,R1
44,5,R2
44,5,R3
44,5,R4
44,5,R5
44,6,R1
44,6,R2
44,6,R3
44,6,R4
44,6,R5
44,7,R1
44,7,R2
44,9,R5
44,12,R1
44,12,R2
44,12,R3
44,12,R5
44,13,R1
44,13,R2
44,13,R3
44,13,R4
44,13,R5
44,16,R1
44,16,R2
44,16,R3
44,16,R4
44,16,R5
44,17,R1
44,17,R2
44,17,R3
44,17,R4
44,17,R5
44,18,R1
44,18,R2
44,18,R3
44,18,R4
44,18,R5
