T,OTU,Replicate,r,K,O2_0,T_end_min,keep,has_curvature,delta_aicc_curv,fit_valid,fit_start_time,fit_end_time,delta_Ninoc_to_N0_min,N_inoculation_cells_per_L,otu_name,cell_volume_um3,cell_carbon_fg,N0_cells_per_L,C_tot_O2_mg_per_L,biomass_integral_cells_min_per_L,R_O2_mg_cell_min,growth_fgC_h,respiration_fgC_h,growth_C_per_C_h,respiration_C_per_C_h,CUE,resp_over_growth
22,1,R1,0.00419449825457765,0.002344247967810769,10.101928778532297,529.63,TRUE,TRUE,1934.1593353600779,TRUE,37.1,582.8,37.1,105000000,Clade1_2068,8,1320,122679619.22104624,4.594855537634701,240458831775.87256,1.9108699413118187e-11,332.20426176254995,430.3667516425324,0.25166989527465905,0.3260354179110094,0.43563714843968376,1.2954883521336225
22,1,R2,0.005055372525854403,0.0020116340304122257,10.58833745843734,547.65,TRUE,TRUE,2436.739398234904,TRUE,65.2,619.9,65.2,105000000,Clade1_2068,8,1320,145994746.59621134,5.943296047619937,431335912646.4615,1.377881106897602e-11,400.38550404766875,310.32683245728657,0.3033223515512642,0.23509608519491407,0.563358033176447,0.7750700994917636
22,1,R3,0.00481282570755265,0.0025678160087163,12.035984988393423,495.53,TRUE,TRUE,1868.6147405022225,TRUE,87.2,582.8,87.2,105000000,Clade1_2068,8,1320,159754578.2767088,5.2595832279865,327220680004.3619,1.6073504975041276e-11,381.1757960381699,362.0080034787563,0.288769542453159,0.2742484874839063,0.5128957281979725,0.9497140354696231
22,1,R4,0.004593800505550988,0.0023181687585895052,9.901613760004066,522.56,TRUE,TRUE,1911.3957690905406,TRUE,77.2,599.8,77.2,105000000,Clade1_2068,8,1320,149695278.20121184,5.060978320295305,326811650282.04144,1.5485917701916793e-11,363.82900003963823,348.7743437422137,0.27562803033305927,0.2642229876834952,0.510563138966994,0.9586216153858423
22,1,R5,0.004839468194294321,0.002110702727485273,10.031708971470014,475.4599999999999,TRUE,TRUE,1610.243106680682,TRUE,77.2,552.7,77.2,105000000,Clade1_2068,8,1320,152561423.92004734,3.918268753573122,283212151366.64264,1.3835101123541072e-11,383.2858809881102,311.59459890277856,0.29036809165765926,0.2360565143202868,0.5515853331328207,0.8129561102002723
22,2,R1,0.0038283857670708614,0.0032480124712262783,10.393753650006552,392.22999999999996,TRUE,TRUE,878.2065219659394,TRUE,64.2,458.4,64.2,105000000,Clade1_2069,8,1320,134255233.571706,2.959992114307408,122350032888.48634,2.4192818297035014e-11,303.2081527520122,544.8714430258533,0.22970314602425168,0.41278139623170707,0.35752322572258943,1.797021082976923
22,2,R2,0.004791169056606754,0.0025061455678763314,10.843209968366084,514.55,TRUE,TRUE,1539.2504865587593,TRUE,71.2,587.8,71.2,105000000,Clade1_2069,8,1320,147686470.9231106,5.631941090245401,331888743705.347,1.696936457491151e-11,379.4605892832549,382.18458261627995,0.2874701433964052,0.28953377470930297,0.49821177010402923,1.0071785935350237
22,2,R3,0.005277088507493177,0.0023239461528570915,10.411340551584535,480.50000000000006,TRUE,TRUE,2344.974303496475,TRUE,75.2,556.7,75.2,105000000,Clade1_2069,8,1320,156146927.34050044,5.1192548016674255,343964900637.1048,1.4883073221091304e-11,417.9454097934596,335.1970606760316,0.3166253104495906,0.2539371671788118,0.554935388961563,0.8020115852969396
22,2,R4,0.0037857256304745608,0.005415488167106905,10.888941000916384,412.33000000000004,TRUE,TRUE,636.6202126352672,TRUE,75.2,494.6,75.2,105000000,Clade1_2069,8,1320,139581256.78121498,5.383595941390183,138759252040.4183,3.879810435863426e-11,299.8294699335852,873.812172232432,0.22714353782847363,0.661978918357903,0.25546935211009913,2.914363862985146
22,2,R5,0.0038932730840364024,0.0032301255313474508,10.04021777070278,494.54999999999995,TRUE,TRUE,2074.298491973689,TRUE,56.1,552.7,56.1,105000000,Clade1_2069,8,1320,130630531.75316076,4.860210677394089,196553322482.03174,2.4727186577262733e-11,308.3472282556831,556.9065028679968,0.23359638504218416,0.4218988658090885,0.3563662509206883,1.8061018612633906
22,3,R1,0.004951858423273577,0.0017656197437796476,9.98644203228871,510.59000000000003,TRUE,TRUE,1626.5106341241233,TRUE,57.1,568.7,57.1,105000000,Clade1_2070,8,1320,139311365.30157205,4.112190675788327,324461084807.6027,1.2673910272557808e-11,392.1871871232673,285.4422206707141,0.2971115053964146,0.2162441065687228,0.5787635285782983,0.7278213823466843
22,3,R2,0.005069813378800439,0.0019146586990872847,10.577661421672753,530.5999999999999,TRUE,TRUE,1908.0398135898133,TRUE,63.2,599.8,63.2,105000000,Clade1_2070,8,1320,144658031.8094389,5.186124829675323,391826810144.5548,1.3235757981343927e-11,401.5292196009948,298.09617309942223,0.30418880272802634,0.22583043416622897,0.5739203061958209,0.742402192785981
22,3,R3,0.004726998769106449,0.0020517212672499984,10.527535699450967,491.52000000000004,TRUE,TRUE,1623.3228509678868,TRUE,76.2,568.7,76.2,105000000,Clade1_2070,8,1320,150529285.9612871,3.997744498401715,293303790532.2587,1.3630047164228609e-11,374.3783025132308,306.9763669408397,0.283619926146387,0.23255785374306037,0.5494617110545351,0.81996302905399
22,3,R4,0.004714949946162854,0.0021517598568328556,9.650380256114294,581.77,TRUE,TRUE,2127.0569605489404,TRUE,65.2,705.1,65.2,105000000,Clade1_2070,8,1320,142790009.59622192,6.632771383588891,440148321619.0385,1.506940060384861e-11,373.42403573609806,339.3935320698024,0.28289699676977126,0.25711631217409275,0.5238704159403954,0.9088690057156757
22,3,R5,0.004846197373009392,0.002202872356839868,9.841130963364801,433.40999999999997,TRUE,TRUE,1672.5904002568436,TRUE,84.2,518.6,84.2,105000000,Clade1_2070,8,1320,157907618.49613985,3.258881291743374,233605084808.02,1.3950386800961843e-11,383.8188319423438,314.1910666910794,0.29077184238056353,0.23802353537202986,0.5498759153613602,0.8185921078991671
22,4,R1,0.003212950463664091,0.0021603025433283582,10.820481443948355,599.02,TRUE,TRUE,2141.1774992542314,TRUE,50.1,659.1,50.1,120000000,Clade2_2071,8,1320,140957800.87534997,3.935102567542762,256761908582.10788,1.532588143339956e-11,254.46567672219604,345.170001681159,0.1927770278198455,0.2614924255160296,0.4243671380591623,1.3564501355441592
22,4,R2,0.003236002432599628,0.0025251242132308806,10.970988301919162,710.33,TRUE,TRUE,2872.51746055784,TRUE,55.1,774.5,55.1,120000000,Clade2_2071,8,1320,143422594.2566072,6.992094338072803,397138605696.63965,1.760618141318102e-11,256.29139266189054,396.5269922252338,0.1941601459559777,0.30039923653426803,0.3925921796859392,1.5471724902925144
22,4,R3,0.002862510832482427,0.0026933885590683976,10.478394695439471,628.1,TRUE,TRUE,2087.0357449125095,TRUE,39.1,677.2,39.1,120000000,Clade2_2071,8,1320,134211366.12012734,4.73960867333446,236174373274.62427,2.0068259767638838e-11,226.71085793260823,451.9780012546598,0.17175064994894562,0.3424075767080756,0.3340424037667204,1.9936319123674886
